="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id"
="1861","Kang, Edward",="200",="98795545",="200 FL LCM",="17",="2:08.21",="2:08.21",="2019 Futures",="2015 OR Speedo Western Section LC",="7/15/2015",="Lake Oswego Swim Club",="OR",="",="779",="73"
="1861","McDonald, Jacob",="200",="150576887",="200 FL LCM",="18",="2:08.21",="2:08.21",="2019 Futures",="2020 OH MAKO Senior Meet",="2/29/2020",="Mason Manta Rays",="OH",="",="771",="73"
="1861","Royek, Andrew",="200",="121044587",="200 FL LCM",="17",="2:08.21",="2:08.21",="2019 Futures",="2017 Sectionals - Athens",="7/13/2017",="Georgia Coastal Aquatic Team",="GA",="",="779",="73"
="1861","Scicchitani, Gabriele",="200",="99856490",="200 FL LCM",="18",="2:08.21",="2:08.21",="2019 Futures",=" National Championships - Junior & Youth",="8/13/2015",="Unattached",="FL",="",="771",="73"
="1861","Tritter, Hudson",="200",="148489164",="200 FL LCM",="17",="2:08.21",="2:08.21",="2019 Futures",="2020 NJ Jim Wood Memorial Invitation",="1/12/2020","NYS Aquatics, Inc.",="MR",="",="779",="73"
="1868","Hu, Price",="200",="49127124",="200 FL LCM",="17",="2:08.22",="2:08.22",="""AAAA""",="2010 PN PNS LC Championships",="7/29/2010",="North Whidbey Aquatic Club",="PN",="",="779",="73"
="1868","Smith, Christopher",="200",="110316259",="200 FL LCM",="17",="2:08.22",="2:08.22",="2019 Futures",="2016 AP LC Y Nationals",="7/31/2016",="YMCA of Greater Monmouth County",="NJ",="",="779",="73"
="1870","Mayer, Austin",="200",="88554236",="200 FL LCM",="16",="2:08.23",="2:08.23",="2019 Futures",="2014 IN NCSA Summer Swimming Cham",="8/5/2014",="Flyers Aquatic Swim Team",="OZ",="",="808",="73"
="1870","Vizental, Anthony",="200",="143693797",="200 FL LCM",="18",="2:08.23",="2:08.23",="2019 Futures",="2019 PC Far Western LC Championships",="7/25/2019",="Terrapins Swim Team",="PC",="",="771",="73"
="1870","Woo, Brendan",="200",="88751232",="200 FL LCM",="18",="2:08.23",="2:08.23",="2019 Futures",="2014 YMCA National Long Course",="8/1/2014",="Wyckoff YMCA",="NJ",="",="771",="73"
="1873","Bowles, Charley",="200",="57746414",="200 FL LCM",="16",="2:08.24",="2:08.24",="2019 Winter Juniors (SCY)",="2011 VA LC SR Championships",="7/21/2011",="Coast Guard Blue Dolphins",="VA",="",="808",="73"
="1873","Buyers, Jackson",="200",="110558794",="200 FL LCM",="18",="2:08.24",="2:08.24",="2019 Futures",="2016 CC Western Zone Senior Championships",="8/3/2016",="Fort Collins Area Swim Team",="CO",="",="771",="73"
="1873","Cockeram, Jacob",="200",="48967803",="200 FL LCM",="18",="2:08.24",="2:08.24",="""AAAA""",="2010 OR Speedo Western Section LC",="7/20/2010",="Forest Grove Swim Club",="OR",="",="771",="73"
="1873","Juranovic, Gabriel",="200",="88322026",="200 FL LCM",="18",="2:08.24",="2:08.24",="2019 Futures",="2014 NI - Speedo Summer- July",="7/24/2014",="Asphalt Green Unified Aquatics",="MR",="",="771",="73"
="1873","Schultz, Jake",="200",="77859655",="200 FL LCM",="17",="2:08.24",="2:08.24",="2019 Futures",="2013 NCSA Summer Swimming Cham",="7/30/2013",="Lakeside Swim Team",="KY",="",="779",="73"
="1873","Weeks, Nate",="200",="88111727",="200 FL LCM",="20",="2:08.24",="2:08.24",="2019 Futures",="2014 OH Central Zone Section 3 C",="7/21/2014",="Spartan Swim Club",="MI",="",="771",="73"
="1879","Freed, Evan",="200",="87793104",="200 FL LCM",="17",="2:08.25",="2:08.25",="2019 Futures",="2014 GA Bulldog Grand Slam",="7/10/2014",="Aiken-Augusta Swim League",="GA",="",="779",="73"
="1879","Gilbert, Reilly",="200",="132127013",="200 FL LCM",="16",="2:08.25",="2:08.25",="""AAAA""",="2018 Sectionals - Austin",="7/12/2018",="Nitro Swimming",="ST",="",="808",="73"
="1879","Haines, Harrison",="200",="65742012",="200 FL LCM",="16",="2:08.25",="2:08.25",="2019 Futures",="2012 Mutual of Omaha Swimvitational",="6/8/2012",="Bernal's Gator Swim Club",="NE",="Yes",="808",="73"
="1879","Kelsoe, Jacob",="200",="77929276",="200 FL LCM",="19",="2:08.25",="2:08.25",="2019 Futures",="2013 FG Southern Zone Senior LC ",="7/29/2013",="Memphis Thunder Aquatic Club",="SE",="",="771",="73"
="1879","Mitchell, Luke",="200",="67815107",="200 FL LCM",="18",="2:08.25",="2:08.25",="""AAAA""",="2012 Speedo Junior National Ti",="8/13/2012",="Mission Viejo Nadadores",="CA",="",="771",="73"
="1879","Prendergast, Stefan",="200",="57981352",="200 FL LCM",="21",="2:08.25",="2:08.25",="""AAAA""",="2011 NJ SAC LC JO's",="7/28/2011",="Eastern Express Swim Team",="NJ",="Yes",="771",="73"
="1885","Alger, Seamus",="200",="49254683",="200 FL LCM",="21",="2:08.26",="2:08.26",="""AAAA""",="2010 SN JUNIOR OLYM",="7/22/2010",="Chico Aqua-Jets",="SN",="",="771",="73"
="1885","Bolgan, Charlie",="200",="60628928",="200 FL LCM",="19",="2:08.26",="2:08.26",="""AAAA""",="2011 Winter Nationals",="12/1/2011",="University of Louisville",="KY",="",="771",="73"
="1885","Brunfman, Gilad",="200",="63850988",="200 FL LCM",="24",="2:08.26",="2:08.26",="""AAAA""",="2012 OK SCS Central Section Region VII",="3/1/2012",="Lindenwood University Swim Team",="OZ",="Yes",="771",="73"
="1885","Kravitz, Caleb",="200",="132552444",="200 FL LCM",="17",="2:08.26",="2:08.26",="2019 Futures",="2018 FL Senior LC Championship",="7/22/2018",="Saint Petersburg Aquatics",="FL",="",="778",="73"
="1885","Murtagh, Joseph",="200",="88145943",="200 FL LCM",="15",="2:08.26",="2:08.26",="2019 Futures",="2014 FL Swimming Summer Senior",="7/24/2014",="Patriot Aquatics",="FL",="",="851",="73"
="1890","Endom, Phillip",="200",="143865911",="200 FL LCM",="16",="2:08.27",="2:08.27",="""AAAA""",="2019 NCSA Summer Champs",="8/8/2019",="Nu Wave Swim Club",="LA",="",="808",="73"
="1890","Hao, Yun",="200",="48265586",="200 FL LCM",="15",="2:08.27",="2:07.07",="2019 Summer Juniors (LCM)",="2010 CO FAST Long Course Open",="6/25/2010",="Unattached",="NM",="Yes",="851",="73"
="1890","Lubinski, Jacob",="200",="110532704",="200 FL LCM",="17",="2:08.27",="2:08.27",="2019 Futures",="2016  Junior TT",="8/11/2016",="Eastern Express Swim Team",="NJ",="",="778",="73"
="1890","Nestor, Brandon",="200",="67388291",="200 FL LCM",="17",="2:08.27",="2:08.27",="""AAAA""",="2012 YMCA National Long Course",="7/23/2012",="YMCA of Central Florida",="FL",="",="778",="73"
="1890","Ungrady, Graham",="200",="110347552",="200 FL LCM",="18",="2:08.27",="2:08.27",="2019 Futures",="2016 FL YCF Aquatica Summer Splash",="7/27/2016",="Bolles School Sharks",="FL",="",="770",="73"
="1890","Wrightson, Nick",="200",="63963658",="200 FL LCM",="18",="2:08.27",="2:08.27",="""AAAA""",="2012 Pro Swim - Columbus",="3/9/2012",="Ohio State Swim Club",="OH",="",="770",="73"
="1896","Davidoff, Ryan",="200",="143865580",="200 FL LCM",="16",="2:08.28",="2:08.28",="""AAAA""",="2019 NCSA Summer Champs",="8/8/2019",="Long Island Aquatic Club",="MR",="",="807",="73"
="1896","Gapinski, David",="200",="143769302",="200 FL LCM",="16",="2:08.28",="2:08.28",="""AAAA""",="2019 Futures - Greensboro ",="8/3/2019",="Loggerhead Aquatics",="FL",="",="807",="73"
="1896","Iwase, Jota",="200",="140260837",="200 FL LCM",="18",="2:08.28",="2:08.28",="2019 Futures",="2019 Sectionals - Indianapolis",="3/30/2019",="Carmel Swim Club",="IN",="",="770",="73"
="1896","Tsau, Brian",="200",="86042539",="200 FL LCM",="17",="2:08.28",="2:08.28",="2019 Futures",="2014 PV Virginia LC State Cham",="5/23/2014",="Nation's Capital Swim Club",="PV",="",="778",="73"
="1900","Adame, Mariano",="200",="87583568",="200 FL LCM",="18",="2:08.29",="2:08.29",="2019 Futures",="2014 ST TXLA Texas Senior Circ",="7/10/2014",="Longhorn Aquatics",="ST",="",="770",="73"
="1900","Freiman, Lance",="200",="143862633",="200 FL LCM",="18",="2:08.29",="2:08.29",="2019 Futures",="2019 Time Trials - LC Juniors",="8/9/2019",="Dexter Community Aquatics Club",="MI",="",="770",="73"
="1900","Nossen, Hans",="200",="67486991",="200 FL LCM",="17",="2:08.29",="2:08.29",="""AAAA""",="2012 CA SCS/RAA Junior Olympic",="7/25/2012",="Boulder City Henderson Swim Team",="CA",="",="778",="73"
="1900","Shields, Reilly",="200",="99043673",="200 FL LCM",="17",="2:08.29",="2:08.29",="2019 Futures",="2015 MN MNSI Speedo Sectionals",="7/15/2015",="Chicago Wolfpack Aquatic Club",="IL",="",="778",="73"
="1900","Whaley, James",="200",="143278700",="200 FL LCM",="21",="2:08.29",="2:08.29",="2019 Futures",="2019 CT Senior Championship LC",="7/21/2019",="Unattached",="CT",="",="770",="73"
="1905","Cox, Jeff",="200",="58250667",="200 FL LCM",="20",="2:08.30",="2:08.30",="2019 Winter Juniors (SCY)",="2011 Summer Nationals",="8/2/2011",="University of Denver Hilltoppers",="CO",="",="770",="73"
