="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id"
="167","Hitchens, Sarah",="100",="112576512",="100 BK SCY",="21",="52.71",="52.71",="2019 Summer Nationals (LCM)",="NC STATE GAC Invitational",="11/18/2016",="Unattached",="NC",="",="1000",="12"
="167","Schoof, Kaylyn",="100",="139404990",="100 BK SCY",="16",="52.71",="52.71",="2019 Summer Nationals (LCM)",="2019 WI 13 & Over SC State",="3/3/2019",="Elmbrook Swim Club",="WI",="",="1000",="12"
="170","Barbiea, Dani",="100",="80190023",="100 BK SCY",="20",="52.72",="52.72",="2017 US Open",="Mizzou Invitational",="11/21/2013",="Unattached",="MV",="",="1000",="12"
="170","Carlton, Emma",="100",="149850724",="100 BK SCY",="19",="52.72",="52.72",="2019 Summer Nationals (LCM)",="2020 SEC Champs",="2/21/2020",="Unattached",="GU",="",="1000",="12"
="170","Solernou, Lauren",="100",="73352579",="100 BK SCY",="19",="52.72",="52.72",="2019 Winter US Open (LCM)",="2012 SEC Champs",="2/15/2012",="Unattached",="SE",="",="1000",="12"
="173","Jonsdottir, Ingibjorg",="100",="117659892",="100 BK SCY",="23",="52.73r",="52.73",="2019 Summer Nationals (LCM)",="2017 NCAA DI - Women",="3/16/2017",="Unattached",="AZ",="Yes",="999",="12"
="173","Linn, Ashlee",="100",="94356219",="100 BK SCY",="22",="52.73r",="52.73",="2019 Summer Nationals (LCM)",="2015 SEC Champs",="2/20/2015",="Unattached",="FL",="",="999",="12"
="173","Smit, Julia",="100",="46184573",="100 BK SCY",="22",="52.73r",="52.73",="Summer Nationals (LCM)",="2010 NCAA D1 - Women",="3/18/2010",="Unattached",="PC",="",="999",="12"
="176","DeLoof, Catie",="100",="138939740",="100 BK SCY",="22",="52.74r",="52.74",="2019 Summer Nationals (LCM)",="2019 B1G 10 Champs women",="2/21/2019",="Unattached",="MI",="",="999",="12"
="177","Karam, Emma",="100",="150457462",="100 BK SCY",="15",="52.75",="52.75",="2019 Summer Nationals (LCM)",="2020 Sectionals - Carlsbard",="2/28/2020",="Reno Aquatic Club",="PC",="",="1008",="12"
="177","Kosturos, Sophia",="100",="150193644",="100 BK SCY",="19",="52.75",="52.75",="2019 Summer Nationals (LCM)",="2020 PAC-12 Champs women",="2/28/2020",="Unattached",="CA",="",="998",="12"
="177","Manning, Manon",="100",="146305634",="100 BK SCY",="20",="52.75",="52.75",="2019 Summer Nationals (LCM)",="2019 Kansas Classic",="11/23/2019",="Unattached",="MV",="Yes",="998",="12"
="177","Samardzic, Matea",="100",="127781457",="100 BK SCY",="23",="52.75",="52.75",="2019 Summer Nationals (LCM)",="2018 American Ath. Conf. ",="2/16/2018",="Unattached",="NT",="Yes",="998",="12"
="181","Ulett, Tristen",="100",="147098518",="100 BK SCY",="17",="52.76",="52.76",="2019 Summer Nationals (LCM)",="2019 Winter Junior Nats - East",="12/13/2019",="Dynamo Swim Club",="GA",="",="998",="12"
="181","Webb, Betsy",="100",="51130353",="100 BK SCY",="20",="52.76",="52.76",="Summer Nationals (LCM)",="2010 CA OB Arena Invitational",="11/18/2010",="Unattached",="PC",="",="998",="12"
="183","Goss, Kennedy",="100",="117661372",="100 BK SCY",="20",="52.77r",="52.77",="2019 Summer Nationals (LCM)",="2017 NCAA DI - Women",="3/16/2017",="Unattached",="IN",="Yes",="998",="12"
="183","Haskett, Grace",="100",="149882177",="100 BK SCY",="21",="52.77",="52.77",="2019 Summer Nationals (LCM)",="2020 B1G 10 Champs women",="2/21/2020",="Unattached",="IN",="",="998",="12"
="183","Hersey, Kathleen",="100",="51454951",="100 BK SCY",="20",="52.77",="52.77",="Summer Nationals (LCM)",="2010 UT Invite",="12/2/2010",="Unattached",="GA",="",="998",="12"
="183","Moroney, Megan",="100",="146581505",="100 BK SCY",="22",="52.77",="52.77",="2019 Summer Nationals (LCM)",="2019 UT Invite",="11/21/2019",="Unattached",="VA",="",="998",="12"
="183","Myers, Madison",="100",="127951365",="100 BK SCY",="20",="52.77",="52.77",="2019 Summer Nationals (LCM)",="2018 MAC Champs Women",="2/23/2018",="Unattached",="LE",="",="998",="12"
="183","Wilk, Kasia",="100",="89340787",="100 BK SCY",="22",="52.77r",="52.77",="2019 Summer Nationals (LCM)",="SMU Women's Classic 2014",="10/17/2014",="Unattached",="CA",="Yes",="998",="12"
="183","Wilkinson, Julia",="100",="45492383",="100 BK SCY",="22",="52.77",="52.77",="Summer Nationals (LCM)",="2010 Big 12 Champs",="2/24/2010",="Unattached",="GU",="Yes",="998",="12"
="190","Hinds, Natalie",="100",="136058513",="100 BK SCY",="25",="52.78",="52.78",="2019 Summer Nationals (LCM)",="2018 GA Senior Short Course St",="12/8/2018",="Athens Bulldog Swim Club",="GA",="",="997",="12"
="190","Robb, Carmen",="100",="70144622",="100 BK SCY",="22",="52.78",="52.78",="2017 US Open",="Mizzou Invitational",="11/29/2012",="Unattached",="CA",="",="997",="12"
="192","Atkinson, Emma",="100",="138736375",="100 BK SCY",="17",="52.80",="52.80",="2019 Summer Nationals (LCM)",="2019 MA OB Easterns",="2/16/2019",="Unattached",="MA",="",="996",="12"
="192","McConagha, Mackenzie",="100",="150648375",="100 BK SCY",="17",="52.80",="52.80",="2019 Summer Nationals (LCM)",="2020 PV SC Senior Championships",="3/7/2020",="Nation's Capital Swim Club",="PV",="",="996",="12"
="192","Sorenson, Sophie",="100",="149812729",="100 BK SCY",="19",="52.80",="52.80",="2019 Summer Nationals (LCM)",="2020 SEC Champs",="2/21/2020",="Unattached",="KY",="",="996",="12"
="195","Mattingly, Zoe",="100",="84146354",="100 BK SCY",="20",="52.81r",="52.81",="2017 US Open",="2014 B1G 10 Champs women",="2/21/2014",="Unattached",="MI",="",="996",="12"
="195","Nevalainen, Lotta",="100",="116273860",="100 BK SCY",="22",="52.81",="52.81",="2019 Summer Nationals (LCM)",="2017 ACC Champs women",="2/15/2017",="Unattached",="NC",="Yes",="996",="12"
="197","Fackenthal, Amalie",="100",="144847082",="100 BK SCY",="19",="52.83",="52.83",="2019 Summer Nationals (LCM)",="Washington State @ Stanford Wo",="10/23/2019",="Unattached",="PC",="",="995",="12"
="197","Hetrick, Paige",="100",="140351947",="100 BK SCY",="17",="52.83",="52.83",="2019 Summer Nationals (LCM)",="2019 NC AP YMCA SCY  Nationals",="4/3/2019",="Bradford Family YMCA",="NI",="",="995",="12"
="199","Galyer, Ali",="100",="123900297",="100 BK SCY",="19",="52.84",="52.84",="2019 Summer Nationals (LCM)",="Ohio State Invitational",="11/18/2017",="Unattached",="KY",="Yes",="994",="12"
="199","Schanz, Emma",="100",="95454481",="100 BK SCY",="17",="52.84",="52.84",="2019 Summer Nationals (LCM)",="2015 PN Speedo Champion Series",="3/14/2015",="Unattached",="IE",="",="994",="12"
="199","Treuth, Alice",="100",="123908407",="100 BK SCY",="20",="52.84r",="52.84",="2019 Summer Nationals (LCM)",="Ohio State Invitational",="11/17/2017",="Unattached",="IN",="",="994",="12"
="202","Boyce, Lisa",="100",="83680453",="100 BK SCY",="20",="52.85",="52.85",="2017 US Open",="2014 Ivy League Champs women",="2/20/2014",="Unattached",="NJ",="",="994",="12"
="202","Fa'Amausili, Gabi",="100",="149850862",="100 BK SCY",="20",="52.85r",="52.85",="2019 Summer Nationals (LCM)",="2020 SEC Champs",="2/21/2020",="Unattached",="GA",="Yes",="994",="12"
="202","Hook, Charlotte",="100",="139656700",="100 BK SCY",="15",="52.85",="52.85",="2019 Summer Nationals (LCM)",="2019 Sectionals - Raleigh ",="3/9/2019",="TAC Titans",="NC",="",="1004",="12"
="202","Perry, Ky-lee",="100",="149810830",="100 BK SCY",="21",="52.85",="52.85",="2019 Summer Nationals (LCM)",="2020 ACC Champs women",="2/21/2020",="Unattached",="NC",="",="994",="12"
="202","Spitz, Ayla",="100",="147023798",="100 BK SCY",="18",="52.85",="52.85",="2019 Summer Nationals (LCM)",="Minnesota Invite 2019",="12/6/2019",="Unattached",="CA",="",="994",="12"
="207","Freeman, Chloe",="100",="145233421",="100 BK SCY",="17",="52.86",="52.86",="2019 Summer Nationals (LCM)",="2019 PC PASA 3rd Annual Joyce Lanphere Invite",="11/2/2019",="DART Swimming",="SN",="",="993",="12"
="208","Koletic, Ashlyn",="100",="105259999",="100 BK SCY",="22",="52.87",="52.87",="2019 Summer Nationals (LCM)",="2016 ACC Champs women",="2/19/2016",="Unattached",="NC",="",="993",="12"
="208","Swartz, Traycie",="100",="63507102",="100 BK SCY",="19",="52.87",="52.87",="2019 Winter US Open (LCM)",="2012 PAC-12 Champs women",="2/22/2012",="Unattached",="UT",="",="993",="12"
="208","Ulett, Rye",="100",="147098514",="100 BK SCY",="15",="52.87",="52.87",="2019 Summer Nationals (LCM)",="2019 Winter Junior Nats - East",="12/13/2019",="Dynamo Swim Club",="GA",="",="1003",="12"
