result_rank	full_name	distance	time_id	event_desc	swimmer_age	swim_time_formatted	alt_adj_swim_time_formatted	standard_name	meet_name	swim_date	club_name	lsc_id	foreign_yesno	hytek_power_points	event_id	gender
913	Sommerville, Grace	500	102198439	500 FR SCY	19	4:50.16	4:50.16	2019 Winter Juniors (SCY)	2015 Hawkeye Invitational	12/4/2015	Unattached	CO	Yes	834	4	f
913	Sosdian, Erin	500	63055659	500 FR SCY	20	4:50.16	4:50.16	2019 Summer Juniors (LCM)	2012 Big 10 Champs women	2/15/2012	Unattached	IL		834	4	f
913	Turek, Michelle	500	113223001	500 FR SCY	20	4:50.16	4:50.16	2019 Winter Juniors (SCY)	UGA Fall Invitational 2016	12/2/2016	Unattached	FL		834	4	f
913	Yuskova, Ksenia	500	79033701	500 FR SCY	17	4:50.16	4:50.16	2019 Winter Juniors (SCY)	2013 FL T2 Spooktacular	10/25/2013	Unattached	FL	Yes	845	4	f
917	Tucker, Miranda	500	93296849	500 FR SCY	17	4:50.17	4:50.17	2019 Winter Juniors (SCY)	2015 IN BBSC Circle City Classic 	1/23/2015	Livonia Community Swim Club	MI		845	4	f
918	Hutchinson-Maddox, Isla	500	70759033	500 FR SCY	17	4:50.18	4:50.18	2019 Summer Juniors (LCM)	2012 PV Tom Dolan Invitational	12/6/2012	Asphalt Green Unified Aquatics	MR		845	4	f
918	Smith, Aileen	500	73720606	500 FR SCY	20	4:50.18	4:50.18	2019 Summer Juniors (LCM)	2013 Ivy League Champs women	2/28/2013	Unattached	MR		834	4	f
920	Moellering, Meredith	500	146176071	500 FR SCY	18	4:50.20	4:50.20	2019 Winter Juniors (SCY)	2019 Ohio State Fall Open Invi	11/21/2019	Unattached	OH		834	4	f
921	Cianciolo, Christina	500	134928178	500 FR SCY	17	4:50.21	4:50.21	2019 Winter Juniors (SCY)	2018 FHSAA 4A State Meet	11/10/2018	Unattached	FL		845	4	f
921	Mills, Kate	500	51640760	500 FR SCY	21	4:50.21	4:50.21	2019 Summer Juniors (LCM)	Georgia Fall Invitational 2010	12/3/2010	Unattached	NE		834	4	f
923	Ceranic, Indira	500	112598372	500 FR SCY	21	4:50.22	4:50.22	2019 Winter Juniors (SCY)	Art Adamson Invitational	11/17/2016	Unattached	AZ		834	4	f
923	Durak, Anna	500	118145308	500 FR SCY	17	4:50.22	4:50.22	2019 Winter Juniors (SCY)	2017 NC AP YMCA Short Course Nationa	4/6/2017	Hickory Foundation YMCA Seahorse Swim Team	NC		845	4	f
923	Jacolin, Aurore	500	112599889	500 FR SCY	19	4:50.22	4:50.22	2019 Winter Juniors (SCY)	Mizzou Invitational	11/17/2016	Unattached	MV	Yes	834	4	f
923	Kudis, Danielle	500	95140550	500 FR SCY	18	4:50.22	4:50.22	2019 Winter Juniors (SCY)	2015 WI 13&Over SC State Champ	3/7/2015	Schroeder YMCA Swim Team	WI		834	4	f
