result_rank	full_name	distance	time_id	event_desc	swimmer_age	swim_time_formatted	alt_adj_swim_time_formatted	standard_name	meet_name	swim_date	club_name	lsc_id	foreign_yesno	hytek_power_points	event_id	gender
1191	Mitchell, Nathan	200	110441397	200 BK LCM	17	2:07.76	2:07.76	2019 Winter Juniors (SCY)	2016 Futures - College Park	8/7/2016	Dayton Raiders	OH		820	67	m
1191	Shay, Michael	200	121601679	200 BK LCM	16	2:07.76	2:07.76	2019 Winter Juniors (SCY)	2017 ST AAAA ST Senior Circuit LC	7/29/2017	Nitro Swimming	ST		863	67	m
1193	Abbas, Austin	200	67213310	200 BK LCM	20	2:07.77	2:07.77	2019 Summer Juniors (LCM)	2012 Speedo Champions Series-Central Zone Sec 1	7/19/2012	Black Hawk Area Swim Team	IA		808	67	m
1193	Astashinsky, Nik	200	58070404	200 BK LCM	19	2:07.77	2:07.77	2019 Winter US Open (LCM)	2011 IN Senior LCM Champ	7/21/2011	Carmel Swim Club	IN		808	67	m
1193	Mendoza, Manny	200	56819098	200 BK LCM	17	2:07.77	2:07.77	2019 Winter US Open (LCM)	2011 CA TYR Fran Crippen Mem SMOC	6/23/2011	Nitro Swimming	ST		820	67	m
1193	Phillips, Jp	200	132991742	200 BK LCM	18	2:07.77	2:07.77	AAAA	2018 Futures - Rochester	8/5/2018	Jeffco Hurricanes	CO		808	67	m
1193	Rocca, Ty	200	77869310	200 BK LCM	19	2:07.77	2:07.77	2019 Winter Juniors (SCY)	2013 NE CRIM LCM 13-19 AG CHAM	8/1/2013	Crimson Aquatics	NE		808	67	m
1198	Carney, Cameron	200	135487668	200 BK LCM	20	2:07.78	2:07.78	AAAA	2018 Time Trials Winter Nation	12/1/2018	Grand Canyon University	AZ		808	67	m
1198	Dimiceli, Luke	200	150546434	200 BK LCM	17	2:07.78	2:07.78	AAAA	2020 GU AGS Speedo Sectionals 	2/28/2020	Cypress Fairbanks Swim Club	GU		820	67	m
1198	Kao, Ryan	200	60629122	200 BK LCM	15	2:07.78	2:07.78	2019 Summer Juniors (LCM)	2011 Winter Nationals	12/1/2011	La Mirada Armada	CA		908	67	m
1198	Kerr, Cameron	200	99487522	200 BK LCM	19	2:07.78	2:07.78	2019 Winter Juniors (SCY)	2015 NT American LC Final	8/1/2015	Houston Cougar Aquatic Sports	GU		808	67	m
1198	Norton, Mitchell	200	143533473	200 BK LCM	17	2:07.78	2:07.78	AAAA	2019 GA Senior State Champ	7/28/2019	Marietta Marlins, Inc	GA		820	67	m
