result_rank	full_name	distance	time_id	event_desc	swimmer_age	swim_time_formatted	alt_adj_swim_time_formatted	standard_name	meet_name	swim_date	club_name	lsc_id	foreign_yesno	hytek_power_points	event_id	gender
1303	Wylie, Robert	1500	98772908	1500 FR LCM	17	16:28.10	16:28.10	AAAA	2015 GA LC Speedo Sectionals	7/12/2015	Athens Bulldog Swim Club	GA		776	60	m
1305	Hanks, Levi	1500	64582680	1500 FR LCM	18	16:28.13	16:28.13	AAAA	2012 NCSA Junior National Swim	3/20/2012	Columbia Swim Club	MV		775	60	m
1306	Robichaud, James	1500	58266674	1500 FR LCM	18	16:28.17	16:28.17	AAAA	2011 AM Speedo Super Secitonal	8/4/2011	Naval Academy Aquatic Club	MD		775	60	m
1307	Armstrong, Truman	1500	140325585	1500 FR LCM	15	16:28.26	16:28.26	AAAA	2019 FL TYR ISCA Jr Champions	3/30/2019	Austin Swim Club	ST		822	60	m
1307	Bell, Walker	1500	67594614	1500 FR LCM	15	16:28.26	16:28.26	2019 Futures	2012 CA Summer CA NV Gold Sect	7/25/2012	Santa Barbara Swim Club	CA		822	60	m
1309	Cuthbert, West	1500	49283188	1500 FR LCM	18	16:28.28	16:28.28	AAAA	2010 Summer Junior Nats	8/9/2010	NOVA of Virginia Aquatics, Inc	VA		775	60	m
1310	Columbus, Andrew	1500	143865343	1500 FR LCM	17	16:28.30	16:28.30	2019 Futures	2019 NCSA Summer Champs	8/10/2019	Edina Swim Club	MN		775	60	m
1310	Yamamoto, Gen	1500	58222729	1500 FR LCM	17	16:28.30	16:28.30	AAAA	2011 Summer Junior Nats	8/8/2011	Irvine Novaquatics	CA		775	60	m
1312	Delagerheim, Jacob	1500	150546375	1500 FR LCM	17	16:28.36	16:28.36	2019 Futures	2020 GU AGS Speedo Sectionals 	3/1/2020	Mansfield Aquatic Club	NT		775	60	m
1313	Tinneny, Graydon	1500	110541905	1500 FR LCM	17	16:28.40	16:28.40	AAAA	2016 IN NCSA Summer Swimming Cham	8/13/2016	South Eastern Virginia Aquatics	VA		775	60	m
1314	Martin, Micah	1500	143293784	1500 FR LCM	17	16:28.46	16:28.46	2019 Futures	2019 NC LC SR Championships	7/21/2019	Catawba Valley Aquatic Club	NC		775	60	m
1315	Haney, Michael	1500	67485574	1500 FR LCM	17	16:28.49	16:28.49	AAAA	2012 CA SCS/RAA Junior Olympic	7/25/2012	The Claremont Club	CA		775	60	m
1315	Mendes, Bryce	1500	57946550	1500 FR LCM	19	16:28.49	16:28.49	AAAA	2011 GA Senior Sectionals 	7/14/2011	North Carolina Aquatic Club	NC		774	60	m
1317	Carson, Riley	1500	106884824	1500 FR LCM	18	16:28.50	16:28.50	AAAA	2016 NCSA Spring Championship	3/19/2016	Dads Club Swim Team	GU		774	60	m
1318	Keer, Dylan	1500	99945223	1500 FR LCM	17	16:28.51	16:28.51	AAAA	2015 MA Middle Atlantic LC Sr	7/25/2015	Unattached	MA		775	60	m
1319	Bevier, Bryce	1500	77286982	1500 FR LCM	21	16:28.58	16:28.58	AAAA	2013 GA LC Senior Sectionals	7/11/2013	Tennessee Aquatics	SE		774	60	m
